X,Y,TVD,DELTA_X,DELTA_Y,DELTA_TVD
517440,2109860,2061,0,0,30
517440,2109860,2091,0,0,30
517440,2109860,2121,0,0,30
517440,2109860,2151,0,0,30
517440,2109860,2181,0,0,30
517440,2109860,2211,0,0,30
517440,2109860,2241,0,0,30
517440,2109860,2271,0,0,30
517440,2109860,2301,0,0,30
517440,2109860,2331,0,0,30
517440,2109860,2361,0,0,30
517440,2109860,2391,0,0,30
517440,2109860,2421,0,0,30
517440,2109860,2451,0,0,30
517440,2109860,2481,0,0,30
517440,2109860,2511,0,0,30
517440,2109860,2541,0,0,30
517440,2109860,2571,0,0,30
517440,2109860,2601,0,0,30
517440,2109860,2631,0,0,30
517440,2109860,2661,0,0,30
517440,2109860,2691,0,0,30
517440,2109860,2721,0,0,30
517440,2109860,2751,0,0,30
517440,2109860,2781,0,0,30
517440,2109860,2811,0,0,30
517440,2109860,2841,0,0,30
517440,2109860,2871,0,0,30
517440,2109860,2901,0,0,30
517440,2109860,2931,0,0,30
517440,2109860,2961,0,0,30
517440,2109860,2991,0,0,30
517440,2109860,3021,0,0,30
517440,2109860,3051,0,0,30
517440,2109860,3081,0,0,30
517440,2109860,3111,0,0,30
517440,2109860,3141,0,0,30
517440,2109860,3171,0,0,30
517440,2109860,3201,0,0,30
517440,2109860,3231,0,0,30
517440,2109860,3261,0,0,30
517440,2109860,3291,0,0,30
517440,2109860,3321,0,0,30
517440,2109860,3351,0,0,30
517440,2109860,3381,0,0,30
517440,2109860,3411,0,0,30
517440,2109860,3441,0,0,30
517440,2109860,3471,0,0,30
517440,2109860,3501,0,0,30
517440,2109860,3531,0,0,30
517440,2109860,3561,0,0,30
517440,2109860,3591,0,0,30
517440,2109860,3621,0,0,30
517440,2109860,3651,0,0,30
517440,2109860,3681,0,0,30
517440,2109860,3711,0,0,30
517440,2109860,3741,0,0,30
517440,2109860,3771,0,0,20
517440,2109860,3791,0.04,0,10
517439.96,2109860,3801,0.66,0.01,29.99
517439.3,2109860.01,3830.99,1.44,0.01,29.97
517437.86,2109860.02,3860.96,2.22,0.03,29.91
517435.64,2109860.05,3890.87,3.01,0.03,29.85
517432.63,2109860.08,3920.72,3.78,0.05,29.76
517428.85,2109860.13,3950.48,4.56,0.05,29.65
517424.29,2109860.18,3980.13,5.34,0.06,29.52
517418.95,2109860.24,4009.65,6.11,0.07,29.37
517412.84,2109860.31,4039.02,6.88,0.08,29.2
517405.96,2109860.39,4068.22,7.63,0.09,29.01
517398.33,2109860.48,4097.23,8.4,0.1,28.8
517389.93,2109860.58,4126.03,9.14,0.1,28.57
517380.79,2109860.68,4154.6,9.89,0.12,28.33
517370.9,2109860.8,4182.93,10.63,0.12,28.05
517360.27,2109860.92,4210.98,11.36,0.13,27.76
517348.91,2109861.05,4238.74,12.08,0.14,27.46
517336.83,2109861.19,4266.2,12.8,0.15,27.14
517324.03,2109861.34,4293.34,2.34,0.02,4.78
517321.69,2109861.36,4298.12,10.92,0.13,22.12
517310.77,2109861.49,4320.24,13.28,0.15,26.9
517297.49,2109861.64,4347.14,13.28,0.15,26.91
517284.21,2109861.79,4374.05,13.27,0.16,26.9
517270.94,2109861.95,4400.95,13.28,0.15,26.9
517257.66,2109862.1,4427.85,13.28,0.15,26.9
517244.38,2109862.25,4454.75,13.27,0.16,26.9
517231.11,2109862.41,4481.65,13.28,0.15,26.9
517217.83,2109862.56,4508.55,13.28,0.15,26.91
517204.55,2109862.71,4535.46,13.28,0.16,26.9
517191.27,2109862.87,4562.36,13.27,0.15,26.9
517178,2109863.02,4589.26,13.28,0.15,26.9
517164.72,2109863.17,4616.16,13.28,0.15,26.9
517151.44,2109863.32,4643.06,13.27,0.16,26.9
517138.17,2109863.48,4669.96,13.28,0.15,26.91
517124.89,2109863.63,4696.87,13.28,0.15,26.9
517111.61,2109863.78,4723.77,13.28,0.16,26.9
517098.33,2109863.94,4750.67,13.27,0.15,26.9
517085.06,2109864.09,4777.57,13.28,0.15,26.9
517071.78,2109864.24,4804.47,13.28,0.15,26.9
